id,lat,long,description,full_address,source,created_at,updated_at,address,polygon,street_number,street_name,locality,postal_code,sub_locality,admin_levels,country,country_code,timezone,raw
44,42.3921905,-71.032316,,"164 shawmut ","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:03",,,,,,,,,,,,
2,42.406543,-71.035835,,"29 franklin street","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:39:39",,,,,,,,,,,,
65,42.389664,-71.0381862,,"949698 park street","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:01",,,,,,,,,,,,
46,42.3961174,-71.0391583,,"        151 everett avenue","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:14",,,,,,,,,,,,
38,42.4064349,-71.0264334,,"       1094 revere beach parkway","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:29",,,,,,,,,,,,
19,42.3891924,-71.0264286,,"         85 willow street","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:10",,,,,,,,,,,,
25,42.3999142,-71.0201325,,"        412 eastern avenue","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:12",,,,,,,,,,,,
28,42.392339,-71.029657,,"         86 grove street","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:29",,,,,,,,,,,,
9,42.3920745,-71.0368067,,"189 chestnut street","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:39:39",,,,,,,,,,,,
10,42.407995,-71.031304,,"3 springvale avenue","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:39:39",,,,,,,,,,,,
6981,,,,"58R broadwaystreet ",,"2016-07-01 12:40:46","2016-07-01 12:40:46",,,,,,,,,,,,
26,42.392762,-71.031206,,"         52 grove street","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:29",,,,,,,,,,,,
49,42.4041739,-71.03553,,"        170 revere beach parkway","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:14",,,,,,,,,,,,
31,42.401454,-71.034226,,"        279 washington avenue","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:20",,,,,,,,,,,,
1,42.394245,-71.0340499,,"        286 chestnut street","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:12",,,,,,,,,,,,
16,42.391603,-71.028022,,"123 grove street","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:39:39",,,,,,,,,,,,
3,42.396244,-71.02913,,"39 cary avenue","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:28",,,,,,,,,,,,
40,42.4082999,-71.031781,,"         11 springvale avenue","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:19",,,,,,,,,,,,
66,42.40016,-71.021402,,"        915 broadway ","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:10",,,,,,,,,,,,
7,42.392997,-71.035326,,"        235 chestnut street","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:29",,,,,,,,,,,,
13,42.3919734,-71.0359442,,"        350 broadway ","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:40:14",,,,,,,,,,,,
22,42.3920321,-71.0284589,,"110 grove street","New Property GeoCoding","2016-05-19 11:39:39","2016-05-19 11:39:39",,,,,,,,,,,,
