id,property_id,score
1,10,1
2,41,1
3,42,6
4,44,1
5,47,2
6,48,1
7,51,1
8,53,1
9,58,2
10,64,1
11,67,3
12,68,1
13,345,1
14,383,1
15,667,1
16,718,1
17,831,1
18,851,1
19,921,1
20,1031,1
21,1116,1
22,1130,1
23,1199,1
24,1320,1
25,1346,1
26,1565,1
27,1573,1
28,1582,2
29,1735,2
30,1861,1
31,2016,1
32,2118,1
33,2213,2
34,2324,1
35,2400,1
36,2434,1
37,2486,1
38,2565,1
39,2989,3
40,3009,1
41,3036,1
42,3095,1
43,3151,1
44,3191,1
45,3411,1
46,3479,1
47,3629,1
48,3680,1
49,3785,1
50,3786,1
51,3794,1
52,3908,1
53,4134,1
54,4162,1
55,4203,1
56,4210,1
57,4374,1
58,4660,1
59,4930,1
60,4977,1
61,5071,1
62,5082,1
63,5169,1
64,5484,1
65,5704,1
66,5747,2
67,5847,1
68,5959,1
69,6124,1
70,6134,1
71,6376,1
72,6561,1
73,6655,1
74,6855,1
75,6869,1
76,7074,1
77,7185,2
78,7413,1
79,7436,1
80,14007,1
81,14996,1
82,15031,2
83,15032,1
84,15057,2
85,15400,2
86,15504,1
87,15687,1
88,15690,1
89,15695,1
90,15708,1
91,15762,3
92,15792,1
93,15807,1
94,15812,1
95,15814,1
96,15833,1
97,15854,1
98,15879,1
99,15889,2
100,15916,1
101,15918,1
102,15968,1
103,15970,1
104,16046,1
105,16126,1
106,16573,2
107,16676,1
108,16682,3
109,16727,2
110,16735,1
111,16737,3
112,16882,1
113,16884,1
114,16992,2
115,17053,1
116,17083,1
117,17253,3
118,17557,1
119,17569,1
120,17585,1
121,17617,1
122,17621,4
123,17635,1
124,17661,1
125,17693,1
126,17772,1
127,17773,1
128,17774,1
129,17775,1
130,17776,1
131,17777,1
132,17778,1
133,17779,1
134,17780,1
135,17781,1
136,17782,1
137,17783,1
138,17785,1
139,18033,1
140,18034,1
141,18035,1
142,18036,1
143,18037,1
144,18038,1
145,18039,1
146,18040,1
147,18041,1
148,18042,1
149,18043,1
150,18044,1
151,18045,1
152,18046,1
153,18047,1
154,18048,1
155,18049,1
156,18050,1
157,18051,1
158,18052,1
159,18053,1
160,18054,1
161,18055,1
162,18056,1
163,18057,1
164,18058,1
165,18059,1
166,18060,1
167,18061,1
