migration,batch
2014_10_12_000000_create_users_table,1
2014_10_12_100000_create_password_resets_table,1
2015_01_10_000000_create_properties_table,1
2015_01_10_000000_create_scores_table,1
2015_10_01_000000_create_tables_table,1
2016_01_21_225410_create_jobs_table,1
2016_01_22_173937_create_groups_table,1
2016_01_22_174031_group_user,1
2016_01_23_144852_create_reports_table,1
2016_02_07_204712_create_api_keys_table,1
2016_03_02_163601_create_settings,1
2016_03_18_162428_add_admin,1
2016_03_20_001133_create_notes_table,1
2016_03_20_185537_create_failed_jobs_table,1
2016_03_24_170602_add_activation_to_user,1
2016_03_25_135433_add_soft_deletes_to_tables,1
2016_03_26_031040_create_upload_table,1
2016_03_26_031229_create_upload_id,1
2016_03_28_154022_add_timestamp_sync,1
2016_03_30_190817_create_errors_table,1
2016_04_01_160238_create_tags_table,1
2016_04_01_160732_create_property_tag_table,1
2016_04_28_042225_user_soft_deletes,1
2016_05_12_133700_add_location_id_to_properties,1
2016_05_13_130534_create_new_report_table,1
2016_05_14_025015_add_table_settings,1
2016_05_1_042225_create_locations,1
2016_05_21_183851_change_change_reports_to_views,1
2016_05_22_102359_create_new_reports_table,1
2016_06_06_063456_create_tag_timestamps,1
2016_06_26_205904_update_locations_table,1
2016_06_30_200426_create_images_table,1
2016_07_02_121500_create_tasks_table,1
2016_07_02_125503_create_task_morph_tables,1
2016_07_06_113658_add_softdeletes,1
2016_07_06_170149_make_superadmin_nullable,1
2014_10_12_000000_create_users_table,1
2014_10_12_100000_create_password_resets_table,1
2015_01_10_000000_create_properties_table,1
2015_01_10_000000_create_scores_table,1
2015_10_01_000000_create_tables_table,1
2016_01_21_225410_create_jobs_table,1
2016_01_22_173937_create_groups_table,1
2016_01_22_174031_group_user,1
2016_01_23_144852_create_reports_table,1
2016_02_07_204712_create_api_keys_table,1
2016_03_02_163601_create_settings,1
2016_03_18_162428_add_admin,1
2016_03_20_001133_create_notes_table,1
2016_03_20_185537_create_failed_jobs_table,2
2016_03_24_170602_add_activation_to_user,2
2016_03_25_135433_add_soft_deletes_to_tables,2
2016_03_26_031040_create_upload_table,2
2016_03_26_031229_create_upload_id,2
2016_03_28_154022_add_timestamp_sync,2
2016_03_30_190817_create_errors_table,3
2016_04_01_160238_create_tags_table,4
2016_04_01_160732_create_property_tag_table,5
2016_04_28_042225_user_soft_deletes,5
2016_05_07_172648_add_first_and_last_names_to_user,5
2016_05_12_133700_add_location_id_to_properties,5
2016_05_13_130534_create_new_report_table,5
2016_05_14_025015_add_table_settings,5
2016_05_1_042225_create_locations,5
2016_05_21_183851_change_change_reports_to_views,6
2016_05_22_102359_create_new_reports_table,7
2016_06_06_063456_create_tag_timestamps,8
2016_06_26_205904_update_locations_table,9
2016_06_30_200426_create_images_table,10
2016_07_02_121500_create_tasks_table,10
2016_07_02_125503_create_task_morph_tables,10
2016_07_06_113658_add_softdeletes,11
2016_07_06_170149_make_superadmin_nullable,12
2016_07_12_085757_drop_admin_column,13
2016_07_12_164910_create_raw_addresses_table,14
2016_07_19_112221_make_soft_property_deletes,15
2016_07_21_175539_create_widgets_table,16
2016_07_21_175648_create_dashboard_field,17
2016_07_23_090818_widgets_make_user_id_nullable,17
2016_07_23_124300_create_default_widgets,17
2016_07_27_123523_create_uploaders_table,18
2016_08_05_143833_create_textarea_table_description,18
2016_07_26_082841_add_user_information,19
2016_07_26_082924_create_user_groups_table,19
2016_11_21_000426_create_file_table,20
2016_11_21_000426_create_file_version_table,20
2016_11_23_000426_create_exports_table,20
