tag_id,property_id,created_at,updated_at,deleted_at,created_by,deleted_by
55,1608,"2016-11-14 21:27:36","2016-11-14 21:27:36",,11,
64,4135,"2016-11-14 21:33:36","2016-11-14 21:33:36",,11,
64,17272,"2016-11-14 21:36:29","2016-11-14 21:36:29",,11,
67,1238,"2016-11-14 21:40:33","2016-11-14 21:40:33",,11,
52,18106,"2016-11-14 20:48:27","2016-11-14 20:48:27",,11,
64,688,"2016-11-14 20:56:05","2016-11-14 20:56:05",,11,
58,1423,"2016-11-14 21:01:48","2016-11-14 21:01:48",,11,
59,15631,"2016-10-26 21:03:08","2016-10-26 21:03:08","2016-11-14 21:12:17",11,11
59,1755,"2016-11-14 21:43:11","2016-11-14 21:43:11",,11,
13,2124,"2016-07-21 02:31:24","2016-07-21 02:31:24",,11,
11,7833,"2016-07-20 17:51:37","2016-07-20 17:51:37",,11,
11,863,"2016-07-20 17:54:34","2016-07-20 17:54:34",,11,
11,2138,"2016-07-20 17:55:13","2016-07-20 17:55:13",,11,
11,2412,"2016-07-20 17:56:02","2016-07-20 17:56:02",,11,
11,13261,"2016-07-20 17:59:15","2016-07-20 17:59:15",,11,
11,7501,"2016-07-20 18:00:05","2016-07-20 18:00:05",,11,
59,15631,"2016-10-26 21:01:57","2016-10-26 21:01:57","2016-11-14 21:12:17",11,11
52,5313,"2016-11-14 21:13:16","2016-11-14 21:13:16",,11,
64,1232,"2016-08-03 14:13:02","2016-08-03 14:13:02",,11,
64,133,"2016-08-03 14:15:31","2016-08-03 14:15:31",,11,
13,5310,"2016-07-21 02:28:04","2016-07-21 02:28:04",,11,
64,7497,"2016-08-03 14:18:28","2016-08-03 14:18:28",,11,
64,2077,"2016-08-03 14:20:01","2016-08-03 14:20:01",,11,
62,1228,"2016-11-14 21:00:56","2016-11-14 21:00:56","2016-12-06 17:31:27",11,11
64,588,"2016-08-03 14:22:41","2016-08-03 14:22:41",,11,
64,2081,"2016-08-03 14:25:24","2016-08-03 14:25:24",,11,
64,7,"2016-08-03 14:29:04","2016-08-03 14:29:04",,11,
13,1422,"2016-07-21 02:50:23","2016-07-21 02:50:23",,11,
13,1505,"2016-07-21 02:51:47","2016-07-21 02:51:47",,11,
64,16090,"2016-08-03 14:34:31","2016-08-03 14:34:31",,11,
64,6780,"2016-08-03 14:38:57","2016-08-03 14:38:57",,11,
70,1228,"2016-12-06 17:33:08","2016-12-06 17:33:08",,11,
64,6783,"2016-08-03 14:40:18","2016-08-03 14:40:18",,11,
64,1341,"2016-08-03 14:43:14","2016-08-03 14:43:14",,11,
64,5313,"2016-08-03 14:45:06","2016-08-03 14:45:06",,11,
64,4644,"2016-08-03 14:47:53","2016-08-03 14:47:53",,11,
16,7482,"2016-08-03 14:08:00","2016-08-03 14:08:00","2016-08-03 14:09:23",11,11
16,7482,"2016-08-03 14:08:09","2016-08-03 14:08:09","2016-08-03 14:09:23",11,11
64,329,"2016-08-03 14:49:24","2016-08-03 14:49:24",,11,
73,22094,"2017-01-20 15:01:52","2017-01-20 15:01:52","2017-01-20 15:04:40",11,11
11,4475,"2016-08-04 14:20:42","2016-08-04 14:20:42","2016-10-17 19:55:40",11,11
16,2081,"2016-08-03 14:24:44","2016-08-03 14:24:44",,11,
64,978,"2016-08-03 14:54:15","2016-08-03 14:54:15",,11,
20,6783,"2016-08-03 14:40:49","2016-08-03 14:40:49","2016-08-03 14:41:32",11,11
20,6783,"2016-08-03 14:41:15","2016-08-03 14:41:15",,11,
20,6780,"2016-08-03 14:41:46","2016-08-03 14:41:46",,11,
20,1341,"2016-08-03 14:43:19","2016-08-03 14:43:19",,11,
20,5313,"2016-08-03 14:45:54","2016-08-03 14:45:54",,11,
20,329,"2016-08-03 14:49:28","2016-08-03 14:49:28",,11,
11,10747,"2016-07-20 17:58:26","2016-07-20 17:58:26","2016-09-14 17:31:21",11,11
23,16090,"2016-08-03 14:52:17","2016-08-03 14:52:17",,11,
20,978,"2016-08-03 14:54:20","2016-08-03 14:54:20",,11,
20,1321,"2016-08-03 14:56:11","2016-08-03 14:56:11",,11,
16,1933,"2016-08-03 14:58:06","2016-08-03 14:58:06",,11,
20,3291,"2016-08-03 14:58:45","2016-08-03 14:58:45",,11,
16,3291,"2016-08-03 14:59:32","2016-08-03 14:59:32",,11,
20,1211,"2016-08-03 15:01:51","2016-08-03 15:01:51",,11,
16,1211,"2016-08-03 15:01:55","2016-08-03 15:01:55",,11,
20,1451,"2016-08-03 15:46:00","2016-08-03 15:46:00",,11,
16,1856,"2016-08-03 15:47:41","2016-08-03 15:47:41",,11,
20,1856,"2016-08-03 15:47:48","2016-08-03 15:47:48",,11,
16,2019,"2016-08-03 15:49:37","2016-08-03 15:49:37",,11,
20,2019,"2016-08-03 15:49:41","2016-08-03 15:49:41",,11,
20,6775,"2016-08-03 15:51:08","2016-08-03 15:51:08",,11,
64,1321,"2016-08-03 14:56:15","2016-08-03 14:56:15",,11,
19,11610,"2016-08-04 14:02:20","2016-08-04 14:02:20",,11,
11,2963,"2016-08-04 14:06:34","2016-08-04 14:06:34",,11,
23,16090,"2016-08-03 14:52:03","2016-08-03 14:52:03","2016-08-03 14:52:37",11,11
