id,upload_id,property_id,row_labels,total,created_at,updated_at,raw
5,58,353,"1 GRAND VIEW RD",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":5,""upload_id"":58,""property_id"":353,""row_labels"":""1 GRAND VIEW RD"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
8,58,358,"1 MARLBORO ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":8,""upload_id"":58,""property_id"":358,""row_labels"":""1 MARLBORO ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
11,58,361,"1 PARKER ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":11,""upload_id"":58,""property_id"":361,""row_labels"":""1 PARKER ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
18,58,378,"10 BLOSSOM ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":18,""upload_id"":58,""property_id"":378,""row_labels"":""10 BLOSSOM ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
22,58,387,"10 FRANKLIN AV",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":22,""upload_id"":58,""property_id"":387,""row_labels"":""10 FRANKLIN AV"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
25,58,392,"10 HILLSIDE AV",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":25,""upload_id"":58,""property_id"":392,""row_labels"":""10 HILLSIDE AV"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
28,58,403,"10 LYNN ST",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":28,""upload_id"":58,""property_id"":403,""row_labels"":""10 LYNN ST"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
32,58,413,"10 SPRINGVALE AV",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":32,""upload_id"":58,""property_id"":413,""row_labels"":""10 SPRINGVALE AV"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
35,58,415,"10 WESLEY ST",6,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":35,""upload_id"":58,""property_id"":415,""row_labels"":""10 WESLEY ST"",""total"":6,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
39,58,15525,"100 FOURTH ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":39,""upload_id"":58,""property_id"":15525,""row_labels"":""100 FOURTH ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
42,58,563,"100 LIBRARY ST",9,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":42,""upload_id"":58,""property_id"":563,""row_labels"":""100 LIBRARY ST"",""total"":9,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
46,58,567,"100 SHAWMUT ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":46,""upload_id"":58,""property_id"":567,""row_labels"":""100 SHAWMUT ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
48,58,568,"100 WATTS ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":48,""upload_id"":58,""property_id"":568,""row_labels"":""100 WATTS ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
52,58,15296,"1005 BROADWAY",29,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":52,""upload_id"":58,""property_id"":15296,""row_labels"":""1005 BROADWAY"",""total"":29,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
55,58,7066,"101 FRANKLIN AV",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":55,""upload_id"":58,""property_id"":7066,""row_labels"":""101 FRANKLIN AV"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
58,58,15413,"101 PEARL ST",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":58,""upload_id"":58,""property_id"":15413,""row_labels"":""101 PEARL ST"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
62,58,15556,"101 WINNISIMMET ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":62,""upload_id"":58,""property_id"":15556,""row_labels"":""101 WINNISIMMET ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
65,58,15328,"1018 BROADWAY",19,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":65,""upload_id"":58,""property_id"":15328,""row_labels"":""1018 BROADWAY"",""total"":19,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
69,58,590,"102 ESSEX ST",3,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":69,""upload_id"":58,""property_id"":590,""row_labels"":""102 ESSEX ST"",""total"":3,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
72,58,594,"102 MARLBORO ST",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":72,""upload_id"":58,""property_id"":594,""row_labels"":""102 MARLBORO ST"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
75,58,15532,"102 WILLIAMS ST",3,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":75,""upload_id"":58,""property_id"":15532,""row_labels"":""102 WILLIAMS ST"",""total"":3,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
78,58,6121,"103 BROADWAY",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":78,""upload_id"":58,""property_id"":6121,""row_labels"":""103 BROADWAY"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
82,58,619,"104 CLARK AV",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":82,""upload_id"":58,""property_id"":619,""row_labels"":""104 CLARK AV"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
85,58,625,"104 LIBRARY ST",9,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":85,""upload_id"":58,""property_id"":625,""row_labels"":""104 LIBRARY ST"",""total"":9,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
88,58,628,"104 SUFFOLK ST",4,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":88,""upload_id"":58,""property_id"":628,""row_labels"":""104 SUFFOLK ST"",""total"":4,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
92,58,636,"105 ESSEX ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":92,""upload_id"":58,""property_id"":636,""row_labels"":""105 ESSEX ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
95,58,641,"105 LIBRARY ST",3,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":95,""upload_id"":58,""property_id"":641,""row_labels"":""105 LIBRARY ST"",""total"":3,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
98,58,651,"106 CLARK AV",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":98,""upload_id"":58,""property_id"":651,""row_labels"":""106 CLARK AV"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
102,58,660,"106 ORANGE ST",3,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":102,""upload_id"":58,""property_id"":660,""row_labels"":""106 ORANGE ST"",""total"":3,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
105,58,17293,"107 #3 SHURTLEFF ST",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":105,""upload_id"":58,""property_id"":17293,""row_labels"":""107 #3 SHURTLEFF ST"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
109,58,670,"107 CONGRESS AV",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":109,""upload_id"":58,""property_id"":670,""row_labels"":""107 CONGRESS AV"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
